Velo,SpinRate,HorzBreak,InducedVertBreak,Chance
94.72,2375,3.1,18.15,0.22414019000000002
95.25,2033,11.26,14.5,0.28962818
92.61,2389,11,21.93,0.21577317000000001
94.94,2360,6.84,18.11,0.23774885000000007
97.42,2214,16.7,13.38,0.31501124
95.98,2495,11.25,17.12,0.25607451000000003
94.88,1998,15.13,15.22,0.29728424999999997
92.73,2049,1.55,18.47,0.22315876000000004
92.39,1955,18.15,7.25,0.34533638
95.77,1976,10.04,14.56,0.29042806
93.27,2076,11.45,11.5,0.29730299000000004
91.95,2465,9.12,21,0.20902866000000003
92.24,2391,0.56,13.23,0.23380741
93.1,2130,3.97,16.75,0.23907376000000002
95.38,2262,7.44,17.64,0.24893047999999995
94.54,2116,13.3,8.16,0.3271737800000001
94.22,2325,8.85,17.63,0.24522944000000002
95.14,2451,5.68,18.71,0.22727396999999996
91.91,2073,13.77,14.65,0.27950208
94.42,2232,8.61,19.04,0.24113786999999998
92.06,2184,-3.89,4.09,0.2835966
94.99,2317,6.05,13.93,0.26265508
94.8,3009,10.06,17.07,0.22383783000000004
91.25,2077,13.02,13.67,0.27987101
97.6,2080,16.79,-0.58,0.4063328699999999
95.78,2314,13.22,16.79,0.27155627000000004
95.58,2253,5.07,17.3,0.24490027
92.63,2334,1.44,17.63,0.21442403000000004
89.9,2191,17.65,9.55,0.3077964
96.23,2469,6.28,20.41,0.22305705000000003
90.67,2447,12.69,14.4,0.25492421
94.1,2261,11.57,20.01,0.24175546000000006
94.6,2014,2.89,14.19,0.26325751999999997
93.57,2291,14.04,14.78,0.27719415999999997
93.74,2200,8.27,17.94,0.24506059
94.85,2660,6.82,20.72,0.20787055999999995
88.41,1876,14.75,13.56,0.28214606999999997
96.76,2353,8.91,17.73,0.25512500000000005
97.99,2077,14.73,15.91,0.30246322
89.4,2169,17.83,8.61,0.31274424000000006
95.17,2305,4.59,20.69,0.21873486000000003
90.32,2068,13.56,7.73,0.31351366999999997
95.36,2191,12.29,9,0.31927939
92.29,2591,-0.02,15.27,0.21081317000000008
91.98,2273,16.16,8.9,0.31280914000000004
95.57,2200,15.33,11.87,0.31202918
93.33,2174,9.79,15.34,0.26478773
92.03,2231,4.35,12.68,0.25529531000000005
95.18,2219,6.12,19.91,0.23217977
92.89,2141,9.56,14.23,0.27025471
97.34,2383,5.9,19.13,0.23856772999999998
92.75,2444,-0.37,13.54,0.22894508999999996
96.36,2799,1.43,12.44,0.24147480999999998
88.32,2289,2.7,18.12,0.19779653999999997
89.24,2099,4,18.98,0.20953598000000007
94.81,1939,10.58,14.59,0.28924141000000003
94.95,2228,3.24,19.51,0.22413587000000007
91.72,2227,2.03,16.19,0.22567038
92.98,2193,20.09,7.2,0.3435350300000001
95.68,2169,13.62,14.62,0.29203552000000005
90.69,2274,3.79,17.91,0.21396179999999995
94.77,1860,10.63,12.25,0.30691598
93.23,2270,9.65,16.73,0.25114196000000005
95.39,2103,16.47,13.96,0.30659918999999997
92.07,2028,9.99,17.24,0.25487430999999994
97.67,2792,12.23,10.93,0.2905963800000001
95.3,2155,5.69,19.92,0.23424247
94.43,1910,3.12,12.78,0.27643792
93.48,2333,13.84,11.14,0.29617478
98.56,2132,13.3,10.25,0.33219117000000004
94.08,2041,4.45,10.39,0.28742096
94.19,2448,6.54,20.37,0.21576115
93.96,1892,7.86,16.15,0.26961335
94.16,2479,5.98,21.57,0.20523181000000001
93.9,2190,16.36,8.61,0.32772483
94.43,2037,15.55,12.56,0.31079111
93.32,2366,1.29,18.94,0.20775141000000003
92.7,2341,2.38,22.79,0.18627079000000002
93.34,1913,16.33,7.03,0.34722712
92.42,2182,10.7,14.98,0.26528244
92.02,2263,14.03,15.01,0.26998288000000004
93.04,2264,10.22,14.53,0.26558389
94.05,2253,12.93,16.38,0.26801019000000004
93.43,2030,10.97,13.58,0.2860994700000001
92.03,2247,2.57,18.07,0.21653202000000005
